year,neighbourhood,average_house_value
2006,Cabbagetown-South St.James Town,439171.0
2006,Caledonia-Fairbank,321496.0
2006,Casa Loma,871981.0
2006,Centennial Scarborough,364291.0
2006,Church-Yonge Corridor,360962.0
2006,Clairlea-Birchmount,315133.0
2006,Clanton Park,490234.0
2006,Cliffcrest,371009.0
2006,Corso Italia-Davenport,373239.0
2006,Danforth,415024.0
2006,Danforth-East York,374793.0
2006,Don Valley Village,353756.0
2006,Dorset Park,232869.0
2006,Dovercourt-Wallace Emerson-Juncti,386366.0
2006,Downsview-Roding-CFB,339006.0
2006,Dufferin Grove,406710.0
2006,East End-Danforth,424900.0
2006,Edenbridge-Humber Valley,707638.0
2006,Eglinton East,239060.0
2006,Elms-Old Rexdale,238505.0
2006,Englemount-Lawrence,505677.0
2006,Eringate-Centennial-West Deane,353553.0
2006,Etobicoke West Mall,275009.0
2006,Flemingdon Park,184694.0
2006,Forest Hill North,756983.0
2006,Forest Hill South,1063011.0
2006,Glenfield-Jane Heights,291172.0
2006,Greenwood-Coxwell,344019.0
2006,Guildwood,328303.0
2006,Henry Farm,328823.0
2006,High Park North,473289.0
2006,High Park-Swansea,518157.0
2006,Highland Creek,381156.0
2006,Hillcrest Village,351101.0
2006,Humber Heights-Westmount,399210.0
2006,Humber Summit,312935.0
2006,Humbermede,284227.0
2006,Humewood-Cedarvale,619577.0
2006,Ionview,255698.0
2006,Islington-City Centre West,401463.0
2006,Junction Area,385094.0
2006,Keelesdale-Eglinton West,286886.0
2006,Kennedy Park,255296.0
2006,Kensington-Chinatown,391509.0
2006,Kingsview Village-The Westway,300725.0
2006,Kingsway South,749476.0
2006,L'Amoreaux,578001.0
2006,Lambton Baby Point,299190.0
2006,Lansing-Westgate,545034.0
2006,Lawrence Park North,674957.0
2006,Lawrence Park South,972384.0
2006,Leaside-Bennington,716801.0
2006,Little Portugal,480129.0
2006,Long Branch,342930.0
2006,Malvern,228318.0
2006,Maple Leaf,402835.0
2006,Markland Wood,394610.0
2006,Milliken,306629.0
2006,Mimico,349739.0
2006,Morningside,253323.0
2006,Moss Park,363929.0
2006,Mount Dennis,233143.0
2006,Mount Olive-Silverstone-Jamestown,225031.0
2006,Mount Pleasant East,602054.0
2006,Mount Pleasant West,416125.0
2006,New Toronto,362468.0
2006,Newtonbrook East,497355.0
2006,Newtonbrook West,409358.0
2006,Niagara,328854.0
2006,North Riverdale,624890.0
2006,North St.James Town,365706.0
2006,O'Connor-Parkview,265146.0
2006,Oakridge,375307.0
2006,Oakwood Village,392146.0
2006,Old East York,394111.0
2006,Palmerston-Little Italy,553011.0
2006,Parkwoods-Donalda,404100.0
2006,Pelmo Park-Humberlea,360352.0
2006,Playter Estates-Danforth,576713.0
2006,Pleasant View,331860.0
2006,Princess-Rosethorn,680604.0
2006,Regent Park,348928.0
2006,Rexdale-Kipling,320860.0
2006,Rockcliffe-Smythe,307227.0
2006,Roncesvalles,452349.0
2006,Rosedale-Moore Park,972039.0
2006,Rouge,334448.0
2006,Runnymede-Bloor West Village,490697.0
2006,Rustic,383158.0
2006,Scarborough Village,293162.0
2006,South Parkdale,397724.0
2006,South Riverdale,404427.0
2006,St.Andrew-Windfields,888017.0
2006,Steeles,334206.0
2006,Stonegate-Queensway,489230.0
2006,Tam O'Shanter-Sullivan,314574.0
2006,Taylor-Massey,212794.0
